Geography,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
China,3612500,9704700,17192900,22166100,32169800,49828900,44357000,41252000,36921000,32490500
Hong Kong,800000,1500000,2297900,3110000,3637300,3350000,3000000,2809200,2543200,2240500
India,44500,268800,453500,1540300,1340100,2249900,3549000,5015700,6335500,5951900
Indonesia,102900,238800,478300,810400,940500,1137600,1103300,1252400,828300,799900
Japan,5066300,7266000,10535700,13801600,14679700,15200500,15732500,15685300,15552600,15241500
Malaysia,184600,441000,759400,1222700,1461900,1736800,1597900,1489700,1360000,1280100
Philippines,223400,326500,416300,608800,621300,637100,580700,485700,470700,447000
Singapore,264900,508400,784200,908900,1067700,1105500,1099400,1021000,974100,954600
South Korea,1632000,2492500,755900,1490600,2067300,2669800,3163100,3289600,3455100,3512100
Taiwan,232900,642800,787800,1121100,1379800,1618500,1563800,1482500,1415100,1457800
Thailand,214800,471500,813700,1658600,1745100,1850700,1908000,1896100,1776100,1720000
Vietnam,95500,166100,434800,764700,1213500,1785800,1770000,1760000,1643600,1624600
